  Nils 100 100 100 100 100 100 100 100

  Moore 75 85 77 59 0 85 75 89
  Norman 56 54 50 66 75 70 65 55
  Olson 89 86 70 90 55 73 80 84
  Peerson 47 70 82 73 50 87 73 71

  Russel 72 87 88 54 55 82 69 87
  Thomas 90 96 99 99 100 81 97 97
  Vaughn 81 97 99 67 40 90 70 96
  Westerly 43 98 96 79 100 82 97 96

  Baker 67 72 73 40 0 78 55 70
  Davis 77 70 82 65 70 77 83 81
  Edwards 77 72 73 80 90 93 75 90
  Franklin 47 70 82 73 50 87 73 71

  Jerry 47 55 65 80 90 70 65 60
  Jones 77 82 83 50 10 88 65 80
  Harris 97 90 92 95 100 87 93 91
  Tom 47 90 92 73 100 87 93 91
